,Date,Coefficient,P-Value
0,2012-02-29,0.04529909082319256,0.00043652714615915355
1,2012-03-30,0.11381205887286637,9.237319468552498e-16
2,2012-04-30,0.1405772274440401,3.998756483144768e-19
3,2012-05-31,-0.030355798348246966,0.018989740116582672
5,2012-07-31,-0.04203078684534843,0.0015490668862768316
9,2012-11-30,-0.0450384899625604,3.4584248606209173e-06
11,2013-01-31,0.04029996756643592,0.002735585794833733
12,2013-02-28,0.03569528151435427,0.0028166805556031006
15,2013-05-31,-0.02622680023872057,0.0023527017154528675
16,2013-06-28,0.028153982849650663,0.004409384070095849
18,2013-08-30,0.031407503469230255,6.1015892746137674e-05
20,2013-10-31,0.038199657458526326,7.19497768671035e-06
23,2014-01-31,0.03093782205360477,0.0010519279300953263
24,2014-02-28,-0.03139202038135694,0.0006626657303066492
25,2014-03-31,-0.052749620495491464,8.189530044026156e-08
26,2014-04-30,0.03220948428124857,0.0003422345003507959
28,2014-06-30,-0.029504346095646675,0.01582644058477898
32,2014-10-31,0.051317724282077634,0.0044220020484332856
34,2014-12-31,0.1064698020445094,1.8673196527196783e-11
35,2015-01-30,-0.04926333205125077,0.0028203536814985636
36,2015-02-27,0.04081688892113614,0.00011202963456295059
37,2015-03-31,-0.1519248557454078,4.62458092410269e-29
38,2015-04-30,0.10276678780561027,2.3252041401697745e-20
39,2015-05-29,0.05177118955159869,3.0892121166776795e-05
40,2015-06-30,0.15483911646592274,2.6169478002601308e-21
42,2015-08-31,0.10705199551985967,4.1555701721702023e-17
43,2015-09-30,-0.04838303901877691,0.0028567438884576747
44,2015-10-30,0.031982776526135626,0.017295489128249936
45,2015-11-30,0.0922919957686841,5.011749925836113e-11
47,2016-01-29,-0.046998820944502834,0.0065241709162781455
48,2016-02-29,-0.121694496116013,5.587618585086565e-14
49,2016-03-31,-0.16065848710202368,1.3008650299642649e-15
50,2016-04-29,0.055046385435008297,8.965663009909382e-05
51,2016-05-31,0.10709249519163612,5.682537240395534e-12
52,2016-06-30,-0.06317618569296993,4.8877081027850985e-06
53,2016-07-29,-0.08657478946051102,3.1791715830270877e-12
55,2016-09-30,-0.03881462039337132,0.008550605286718737
56,2016-10-31,-0.0905447763925114,0.0001496414359544755
59,2017-01-31,-0.03540265804697274,0.00016730258768464146
60,2017-02-28,0.014881087278071855,0.04761335621096563
62,2017-04-28,0.09190969148205108,6.006799671347745e-13
63,2017-05-31,-0.03313413621172003,0.010807043490463677
64,2017-06-30,0.024523394584120523,0.012019858469647161
65,2017-07-31,0.05390392887717661,1.0090631293972254e-05
67,2017-09-29,0.10742830065153078,1.3852482223632228e-19
68,2017-10-31,-0.055874020710680344,8.771196517964543e-06
69,2017-11-30,-0.06679061719420197,1.5101319947163962e-12
70,2017-12-29,0.039779927848628854,0.001138590700721209
71,2018-01-31,0.04598401862071806,0.0002342087063389211
73,2018-03-29,-0.03584251330488145,0.006255142205079033
74,2018-04-30,0.05343905530937079,0.00017717475935806348
75,2018-05-31,-0.06669569416169212,1.1449095241491317e-07
77,2018-07-31,0.05442721296699478,1.1772601436931667e-05
79,2018-09-28,-0.049320423045373575,0.0016975116450642083
80,2018-10-31,-0.03078509599920376,0.031065914771333723
81,2018-11-30,0.03137862166360271,0.0216279756354914
82,2018-12-31,-0.09457174528490919,9.322025183436657e-10
84,2019-02-28,0.05325100052479272,3.441550679142266e-05
85,2019-03-29,-0.06206424999731949,1.9422748805446554e-05
86,2019-04-30,0.1529670653855871,1.8448388193498195e-21
87,2019-05-31,-0.06618598862419134,1.114739278153502e-06
89,2019-07-31,0.1828229983183821,3.191481463910266e-26
90,2019-08-30,-0.11652464913476006,3.013889535146642e-22
91,2019-09-30,-0.04188759372017463,0.0007642034639934582
92,2019-10-31,-0.06768037407889277,3.123300228558719e-08
93,2019-11-29,-0.04412654601796076,3.870268936610405e-05
94,2019-12-31,0.08587905919450749,1.2141443487998294e-08
95,2020-01-31,0.046980346719896204,0.0010471351142690996
96,2020-02-28,0.23030210373650897,8.366096711408481e-13
97,2020-03-31,-0.23638059625436472,3.585845826757804e-12
98,2020-04-30,0.059751993404250824,2.808615627298514e-05
99,2020-05-29,-0.05054978857336086,6.144410581584856e-05
100,2020-06-30,0.08529077186719428,1.9621039312662886e-09
101,2020-07-31,-0.02614595361671986,0.04729591083733976
103,2020-09-30,-0.032551768375170737,0.001437560980431587
104,2020-10-30,-0.19279527775051192,7.784049502490866e-32
105,2020-11-30,-0.04528008312624683,4.612878853469862e-06
107,2021-01-29,-0.09735465777269127,1.7048455317579155e-07
108,2021-02-26,-0.05536438366525741,2.111517953188789e-07
110,2021-04-30,0.021835077211374815,0.0002564129956991297
111,2021-05-28,-0.0285638918139324,1.127853837652961e-05
112,2021-06-30,-0.026014875277622546,0.00035918610398974206
113,2021-07-30,0.017295738527008664,0.01191778981191607
114,2021-08-31,0.023260865031963486,0.012955179201899996
115,2021-09-30,0.03878223382625804,8.93341845211824e-06
117,2021-11-30,-0.051261437280730425,4.9751512904693e-09
118,2021-12-31,-0.039385875880143695,0.008443656493523114
119,2022-01-31,0.0331195989412879,0.00927792089596151
120,2022-02-28,0.06623257909068123,0.0001224195990510874
122,2022-04-29,0.0634174561407007,1.1647715264645852e-05
124,2022-06-30,-0.06630362821122805,4.179158766656998e-07
125,2022-07-29,0.08592615186052707,1.1230146548072904e-17
126,2022-08-31,0.032066310192216896,0.0021553090451857807
127,2022-09-30,0.05981341153505868,0.00034388908106143437
128,2022-10-31,-0.08585984432804628,3.217844794032642e-09
129,2022-11-30,0.026712332803025853,0.0012368295271410973
130,2022-12-30,-0.15305521532637897,5.266413497782196e-28
134,2023-04-28,0.04266863616062573,0.021627834923866527
136,2023-06-30,-0.06108075153189091,2.636183326075175e-07
